Time,TZone,Severity,Logger,Thread,Text,Unnamed: 6
2020 05 27 00:56:10,400,ERROR,System.err,Start Level Event Dispatcher,SLF4J: The following loggers will not work because they were created |,
2020 05 27 00:56:10,400,ERROR,System.err,Start Level Event Dispatcher,SLF4J: during the default configuration phase of the underlying logging system. |,
2020 05 27 00:56:10,400,ERROR,System.err,Start Level Event Dispatcher,SLF4J: See also http://www.slf4j.org/codes.html,
2020 05 27 00:56:10,400,ERROR,System.err,Start Level Event Dispatcher,SLF4J: System.out |,
2020 05 27 00:56:10,400,ERROR,com.sap.core.js.conf.agent.FileUtil,Start Level Event Dispatcher,Version file doesn't exist. Fall back will be attempted. |,
2020 05 27 00:56:17,400,ERROR,org.osgi.service.log.LogService,org.eclipse.virgo.medic.log.osgi.OSGiLogServiceListener@638083a5,"Bundle com.sap.it.ictools.mapping.core.valuemapping_1.16.4, [SCR] Component definition XMLs not found in bundle com.sap.it.ictools.mapping.core.valuemapping. The component header value is OSGI-INF/*.xml |",
2020 05 27 00:56:17,400,ERROR,org.osgi.service.log.LogService,org.eclipse.virgo.medic.log.osgi.OSGiLogServiceListener@638083a5,"Bundle org.eclipse.equinox.ds_1.4.0.v20120112-1400, [SCR] Component definition XMLs not found in bundle com.sap.it.ictools.mapping.core.valuemapping. The component header value is OSGI-INF/*.xml |",
2020 05 27 00:56:17,400,ERROR,com.sap.mobile.platform.server.persistence.db2.datasource.Activator,Start Level Event Dispatcher,----- skipped registration of DataSourceFactory service for DB2 - no jdbc driver found ----- |,
2020 05 27 00:56:17,400,ERROR,com.sap.mobile.platform.server.persistence.sqlserver.datasource.Activator,Start Level Event Dispatcher,----- skipped registration of DataSourceFactory service for SQL Server - no jdbc driver found ----- |,
2020 05 27 00:56:37,400,ERROR,com.sap.mobile.platform.server.support.service.impl.LogConfigService,s-reset-log-level-1,Determining if this node is master failed with excepiton No registration exists for the mailboxName=com.sap.mobile.platform.server.configuration.persistence.service.impl.ClusterHandler |,
2020 05 27 00:56:59,400,ERROR,System.err,Agentry Prod Def Load Loop Thread,ERROR StatusLogger No log4j2 configuration file found. Using default configuration: logging only errors to the console. |,
2020 05 27 00:57:54,400,ERROR,org.osgi.service.log.LogService,org.eclipse.virgo.medic.log.osgi.OSGiLogServiceListener@638083a5,"Bundle org.eclipse.osgi_3.8.2.v20130124-134944-sap-03, SMPServerStatusManager: 2020 05 27 00:56:10.737 org.eclipse.virgo.medic.core, state: ACTIVE, type: END_ACTIVATION, startLevel:2",
2020 05 27 00:58:27,400,ERROR,System.err,Agentry Prod Def Load Loop Thread,ERROR StatusLogger No log4j2 configuration file found. Using default configuration: logging only errors to the console. |,
2020 05 27 00:58:54,400,ERROR,org.osgi.service.log.LogService,org.eclipse.virgo.medic.log.osgi.OSGiLogServiceListener@638083a5,"Bundle org.eclipse.osgi_3.8.2.v20130124-134944-sap-03, SMPServerStatusManager: 2020 05 27 00:58:54.819 Bundles (and their services) not yet initialized: com.sap.mobile.platform.server.agentry.core <-- Issue",
2020 05 27 00:59:55,400,ERROR,org.osgi.service.log.LogService,org.eclipse.virgo.medic.log.osgi.OSGiLogServiceListener@638083a5,"Bundle org.eclipse.osgi_3.8.2.v20130124-134944-sap-03, SMPServerStatusManager: 2020 05 27 00:59:55.195 Bundles (and their services) not yet initialized: com.sap.mobile.platform.server.agentry.core <-- Issue",
2020 05 27 00:59:55,400,ERROR,com.sap.mobile.platform.server.agentry.console,Agentry Prod Def Load Loop Thread,"Exception: 00:59:55 05/27/2020 : 2 (Socket Error), EADDRINUSE (EADDRINUSE, Attempt to listen on an address in use, ), ..\Socket\win32\sockets.cpp",
2020 05 27 01:02:08,400,ERROR,com.sap.mobile.platform.server.agentry.console,Agentry Prod Def Load Loop Thread,"Exception: 01:02:08 05/27/2020 : 2 (Socket Error), EADDRINUSE (EADDRINUSE, Attempt to listen on an address in use, ), ..\Socket\win32\sockets.cpp",
2020 05 27 01:04:21,400,ERROR,com.sap.mobile.platform.server.agentry.console,Agentry Prod Def Load Loop Thread,"Exception: 01:04:21 05/27/2020 : 2 (Socket Error), EADDRINUSE (EADDRINUSE, Attempt to listen on an address in use, ), ..\Socket\win32\sockets.cpp",
2020 05 27 02:03:29,400,ERROR,com.sap.mobile.platform.server.agentry.console,Agentry Runtime Worker 1228 Thread,"Exception: 02:03:30 05/27/2020 : 3 (Agentry), XFailedToSendResponse (9, 111, 22, e0028281, ), ..\agentry\netmsg.cpp",
2020 05 27 02:06:12,400,ERROR,com.sap.mobile.platform.server.agentry.console,Agentry Runtime Worker 1228 Thread,"Exception: 02:06:12 05/27/2020 : 3 (Agentry), XFailedToSendResponse (9, 249, 22, e0028281, ), ..\agentry\netmsg.cpp",
2020 05 27 02:07:53,400,ERROR,com.sap.mobile.platform.server.agentry.console,Agentry Runtime Worker 1228 Thread,"Exception: 02:07:53 05/27/2020 : 3 (Agentry), XFailedToSendResponse (9, 272, 22, e0028281, ), ..\agentry\netmsg.cpp",
2020 05 27 02:12:26,400,ERROR,com.sap.mobile.platform.server.agentry.console,Agentry Runtime Worker 1228 Thread,"Exception: 02:12:26 05/27/2020 : 3 (Agentry), XFailedToSendResponse (9, 6, 22, e0028281, ), ..\agentry\netmsg.cpp",
2020 05 27 02:14:05,400,ERROR,com.sap.mobile.platform.server.agentry.console,Agentry Runtime Worker 1228 Thread,"Exception: 02:14:05 05/27/2020 : 3 (Agentry), XFailedToSendResponse (9, 74, 22, e0028281, ), ..\agentry\netmsg.cpp",
2020 05 27 05:59:04,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,java.lang.NullPointerException: while trying to invoke the method com.syclo.sap.User.log(java.lang.String) of a null object loaded from field com.syclo.sap.workmanager.custom.ps.object.Activities._user of an object loaded from local variable 'this' |,
2020 05 27 05:59:04,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.object.Activities.setProperties(Activities.java:145) |,
2020 05 27 05:59:04,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.bapi.ActivitiesUpdateBapi.<init>(ActivitiesUpdateBapi.java:28) |,
2020 05 27 05:59:04,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.stephandler.ActivitiesUpdateStepHandler.run(ActivitiesUpdateStepHandler.java:25) |,
2020 05 27 05:59:04,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.steplet.ActivitiesUpdateSteplet.execute(ActivitiesUpdateSteplet.java:53) |,
2020 05 27 05:59:04,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.Steplet.doSteplet(Steplet.java:169) |,
2020 05 27 05:59:08,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,java.lang.NullPointerException: while trying to invoke the method com.syclo.sap.User.log(java.lang.String) of a null object loaded from field com.syclo.sap.workmanager.custom.ps.object.Activities._user of an object loaded from local variable 'this' |,
2020 05 27 05:59:08,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.object.Activities.setProperties(Activities.java:145) |,
2020 05 27 05:59:08,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.bapi.ActivitiesUpdateBapi.<init>(ActivitiesUpdateBapi.java:28) |,
2020 05 27 05:59:08,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.stephandler.ActivitiesUpdateStepHandler.run(ActivitiesUpdateStepHandler.java:25) |,
2020 05 27 05:59:08,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.steplet.ActivitiesUpdateSteplet.execute(ActivitiesUpdateSteplet.java:53) |,
2020 05 27 05:59:08,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.Steplet.doSteplet(Steplet.java:169) |,
2020 05 27 05:59:11,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,java.lang.NullPointerException: while trying to invoke the method com.syclo.sap.User.log(java.lang.String) of a null object loaded from field com.syclo.sap.workmanager.custom.ps.object.Activities._user of an object loaded from local variable 'this' |,
2020 05 27 05:59:11,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.object.Activities.setProperties(Activities.java:145) |,
2020 05 27 05:59:11,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.bapi.ActivitiesUpdateBapi.<init>(ActivitiesUpdateBapi.java:28) |,
2020 05 27 05:59:11,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.stephandler.ActivitiesUpdateStepHandler.run(ActivitiesUpdateStepHandler.java:25) |,
2020 05 27 05:59:11,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.steplet.ActivitiesUpdateSteplet.execute(ActivitiesUpdateSteplet.java:53) |,
2020 05 27 05:59:11,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.Steplet.doSteplet(Steplet.java:169) |,
2020 05 27 05:59:15,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,java.lang.NullPointerException: while trying to invoke the method com.syclo.sap.User.log(java.lang.String) of a null object loaded from field com.syclo.sap.workmanager.custom.ps.object.Activities._user of an object loaded from local variable 'this' |,
2020 05 27 05:59:15,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.object.Activities.setProperties(Activities.java:145) |,
2020 05 27 05:59:15,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.bapi.ActivitiesUpdateBapi.<init>(ActivitiesUpdateBapi.java:28) |,
2020 05 27 05:59:15,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.stephandler.ActivitiesUpdateStepHandler.run(ActivitiesUpdateStepHandler.java:25) |,
2020 05 27 05:59:15,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.steplet.ActivitiesUpdateSteplet.execute(ActivitiesUpdateSteplet.java:53) |,
2020 05 27 05:59:15,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.Steplet.doSteplet(Steplet.java:169) |,
2020 05 27 05:59:19,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,java.lang.NullPointerException: while trying to invoke the method com.syclo.sap.User.log(java.lang.String) of a null object loaded from field com.syclo.sap.workmanager.custom.ps.object.Activities._user of an object loaded from local variable 'this' |,
2020 05 27 05:59:19,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.object.Activities.setProperties(Activities.java:145) |,
2020 05 27 05:59:19,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.bapi.ActivitiesUpdateBapi.<init>(ActivitiesUpdateBapi.java:28) |,
2020 05 27 05:59:19,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.stephandler.ActivitiesUpdateStepHandler.run(ActivitiesUpdateStepHandler.java:25) |,
2020 05 27 05:59:19,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.steplet.ActivitiesUpdateSteplet.execute(ActivitiesUpdateSteplet.java:53) |,
2020 05 27 05:59:19,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.Steplet.doSteplet(Steplet.java:169) |,
2020 05 27 05:59:22,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,java.lang.NullPointerException: while trying to invoke the method com.syclo.sap.User.log(java.lang.String) of a null object loaded from field com.syclo.sap.workmanager.custom.ps.object.Activities._user of an object loaded from local variable 'this' |,
2020 05 27 05:59:22,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.object.Activities.setProperties(Activities.java:145) |,
2020 05 27 05:59:22,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.bapi.ActivitiesUpdateBapi.<init>(ActivitiesUpdateBapi.java:28) |,
2020 05 27 05:59:22,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.stephandler.ActivitiesUpdateStepHandler.run(ActivitiesUpdateStepHandler.java:25) |,
2020 05 27 05:59:22,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.steplet.ActivitiesUpdateSteplet.execute(ActivitiesUpdateSteplet.java:53) |,
2020 05 27 05:59:22,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.Steplet.doSteplet(Steplet.java:169) |,
2020 05 27 05:59:26,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,java.lang.NullPointerException: while trying to invoke the method com.syclo.sap.User.log(java.lang.String) of a null object loaded from field com.syclo.sap.workmanager.custom.ps.object.Activities._user of an object loaded from local variable 'this' |,
2020 05 27 05:59:26,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.object.Activities.setProperties(Activities.java:145) |,
2020 05 27 05:59:26,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.bapi.ActivitiesUpdateBapi.<init>(ActivitiesUpdateBapi.java:28) |,
2020 05 27 05:59:26,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.stephandler.ActivitiesUpdateStepHandler.run(ActivitiesUpdateStepHandler.java:25) |,
2020 05 27 05:59:26,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.steplet.ActivitiesUpdateSteplet.execute(ActivitiesUpdateSteplet.java:53) |,
2020 05 27 05:59:26,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.Steplet.doSteplet(Steplet.java:169) |,
2020 05 27 06:07:13,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,java.lang.NullPointerException: while trying to invoke the method com.syclo.sap.User.log(java.lang.String) of a null object loaded from field com.syclo.sap.workmanager.custom.ps.object.Activities._user of an object loaded from local variable 'this' |,
2020 05 27 06:07:13,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.object.Activities.setProperties(Activities.java:145) |,
2020 05 27 06:07:13,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.bapi.ActivitiesUpdateBapi.<init>(ActivitiesUpdateBapi.java:28) |,
2020 05 27 06:07:13,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.stephandler.ActivitiesUpdateStepHandler.run(ActivitiesUpdateStepHandler.java:25) |,
2020 05 27 06:07:13,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.steplet.ActivitiesUpdateSteplet.execute(ActivitiesUpdateSteplet.java:53) |,
2020 05 27 06:07:13,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.Steplet.doSteplet(Steplet.java:169) |,
2020 05 27 06:07:18,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,java.lang.NullPointerException: while trying to invoke the method com.syclo.sap.User.log(java.lang.String) of a null object loaded from field com.syclo.sap.workmanager.custom.ps.object.Activities._user of an object loaded from local variable 'this' |,
2020 05 27 06:07:18,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.object.Activities.setProperties(Activities.java:145) |,
2020 05 27 06:07:18,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.bapi.ActivitiesUpdateBapi.<init>(ActivitiesUpdateBapi.java:28) |,
2020 05 27 06:07:18,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.stephandler.ActivitiesUpdateStepHandler.run(ActivitiesUpdateStepHandler.java:25) |,
2020 05 27 06:07:18,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.steplet.ActivitiesUpdateSteplet.execute(ActivitiesUpdateSteplet.java:53) |,
2020 05 27 06:07:18,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.Steplet.doSteplet(Steplet.java:169) |,
2020 05 27 06:07:23,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,java.lang.NullPointerException: while trying to invoke the method com.syclo.sap.User.log(java.lang.String) of a null object loaded from field com.syclo.sap.workmanager.custom.ps.object.Activities._user of an object loaded from local variable 'this' |,
2020 05 27 06:07:23,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.object.Activities.setProperties(Activities.java:145) |,
2020 05 27 06:07:23,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.bapi.ActivitiesUpdateBapi.<init>(ActivitiesUpdateBapi.java:28) |,
2020 05 27 06:07:23,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.stephandler.ActivitiesUpdateStepHandler.run(ActivitiesUpdateStepHandler.java:25) |,
2020 05 27 06:07:23,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.steplet.ActivitiesUpdateSteplet.execute(ActivitiesUpdateSteplet.java:53) |,
2020 05 27 06:07:23,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.Steplet.doSteplet(Steplet.java:169) |,
2020 05 27 06:07:28,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,java.lang.NullPointerException: while trying to invoke the method com.syclo.sap.User.log(java.lang.String) of a null object loaded from field com.syclo.sap.workmanager.custom.ps.object.Activities._user of an object loaded from local variable 'this' |,
2020 05 27 06:07:28,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.object.Activities.setProperties(Activities.java:145) |,
2020 05 27 06:07:28,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.bapi.ActivitiesUpdateBapi.<init>(ActivitiesUpdateBapi.java:28) |,
2020 05 27 06:07:28,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.stephandler.ActivitiesUpdateStepHandler.run(ActivitiesUpdateStepHandler.java:25) |,
2020 05 27 06:07:28,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.workmanager.custom.ps.steplet.ActivitiesUpdateSteplet.execute(ActivitiesUpdateSteplet.java:53) |,
2020 05 27 06:07:28,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.Steplet.doSteplet(Steplet.java:169) |,
2020 05 27 07:25:25,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,com.syclo.agentry.AgentryException: Can not determine valid Geospatial Services. |,
2020 05 27 07:25:25,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread, |,
2020 05 27 07:25:25,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.bapi.BAPIErrorHandler.init(BAPIErrorHandler.java:76) |,
2020 05 27 07:25:25,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.bapi.BAPIErrorHandler.<init>(BAPIErrorHandler.java:48) |,
2020 05 27 07:25:25,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.bapi.BAPI.checkForErrors(BAPI.java:370) |,
2020 05 27 07:25:25,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.bapi.BAPI.run(BAPI.java:239) |,
2020 05 27 07:25:25,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.component.workorder.bapi.WorkorderFetchBAPI.addGeoLocations(WorkorderFetchBAPI.java:250) |,
2020 05 27 07:25:25,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.component.workorder.bapi.WorkorderFetchBAPI.processResults(WorkorderFetchBAPI.java:230) |,
2020 05 27 07:25:25,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.component.lam.workorder.bapi.WorkorderFetchBAPI.processResults(WorkorderFetchBAPI.java:42) |,
2020 05 27 07:25:25,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.workmanager.custom.workorder.bapi.WorkorderFetchBAPI.processResults(WorkorderFetchBAPI.java:54) |,
2020 05 27 07:25:25,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.workmanager.custom.workorder.stephandler.GetWorkOrdersStepHandler.run(GetWorkOrdersStepHandler.java:43) |,
2020 05 27 07:25:25,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.workmanager.custom.workorder.steplet.GetWorkOrdersSteplet.execute(GetWorkOrdersSteplet.java:32) |,
2020 05 27 07:25:25,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.Steplet.doSteplet(Steplet.java:169) |,
2020 05 27 07:35:11,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,com.syclo.agentry.AgentryException: Can not determine valid Geospatial Services. |,
2020 05 27 07:35:11,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread, |,
2020 05 27 07:35:11,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.bapi.BAPIErrorHandler.init(BAPIErrorHandler.java:76) |,
2020 05 27 07:35:11,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.bapi.BAPIErrorHandler.<init>(BAPIErrorHandler.java:48) |,
2020 05 27 07:35:11,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.bapi.BAPI.checkForErrors(BAPI.java:370) |,
2020 05 27 07:35:11,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.bapi.BAPI.run(BAPI.java:239) |,
2020 05 27 07:35:11,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.component.workorder.bapi.WorkorderFetchBAPI.addGeoLocations(WorkorderFetchBAPI.java:250) |,
2020 05 27 07:35:11,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.component.workorder.bapi.WorkorderFetchBAPI.processResults(WorkorderFetchBAPI.java:230) |,
2020 05 27 07:35:11,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.component.lam.workorder.bapi.WorkorderFetchBAPI.processResults(WorkorderFetchBAPI.java:42) |,
2020 05 27 07:35:11,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.workmanager.custom.workorder.bapi.WorkorderFetchBAPI.processResults(WorkorderFetchBAPI.java:54) |,
2020 05 27 07:35:11,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.workmanager.custom.workorder.stephandler.GetWorkOrdersStepHandler.run(GetWorkOrdersStepHandler.java:43) |,
2020 05 27 07:35:11,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.workmanager.custom.workorder.steplet.GetWorkOrdersSteplet.execute(GetWorkOrdersSteplet.java:32) |,
2020 05 27 07:35:11,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.Steplet.doSteplet(Steplet.java:169) |,
2020 05 27 07:35:18,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,com.syclo.agentry.AgentryException: Can not determine valid Geospatial Services. |,
2020 05 27 07:35:18,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread, |,
2020 05 27 07:35:18,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.bapi.BAPIErrorHandler.init(BAPIErrorHandler.java:76) |,
2020 05 27 07:35:18,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.bapi.BAPIErrorHandler.<init>(BAPIErrorHandler.java:48) |,
2020 05 27 07:35:18,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.bapi.BAPI.checkForErrors(BAPI.java:370) |,
2020 05 27 07:35:18,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.bapi.BAPI.run(BAPI.java:239) |,
2020 05 27 07:35:18,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.component.workorder.bapi.WorkorderFetchBAPI.addGeoLocations(WorkorderFetchBAPI.java:250) |,
2020 05 27 07:35:18,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.component.workorder.bapi.WorkorderFetchBAPI.processResults(WorkorderFetchBAPI.java:230) |,
2020 05 27 07:35:18,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.component.lam.workorder.bapi.WorkorderFetchBAPI.processResults(WorkorderFetchBAPI.java:42) |,
2020 05 27 07:35:18,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.workmanager.custom.workorder.bapi.WorkorderFetchBAPI.processResults(WorkorderFetchBAPI.java:54) |,
2020 05 27 07:35:18,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.workmanager.custom.workorder.stephandler.GetWorkOrdersStepHandler.run(GetWorkOrdersStepHandler.java:43) |,
2020 05 27 07:35:18,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.workmanager.custom.workorder.steplet.GetWorkOrdersSteplet.execute(GetWorkOrdersSteplet.java:32) |,
2020 05 27 07:35:18,400,ERROR,System.err,Agentry SAPWM Worker 3876 Thread,	at com.syclo.sap.Steplet.doSteplet(Steplet.java:169) |,
2020 05 27 07:39:23,400,ERROR,com.sap.mobile.platform.server.agentry.console,Agentry Runtime Worker 9592 Thread,"Exception: 07:39:23 05/27/2020 : 3 (Agentry), XFailedToSendResponse (9, 75, 22, e0014131, ), ..\agentry\netmsg.cpp",
2020 05 27 07:51:39,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,com.syclo.agentry.AgentryException: Can not determine valid Geospatial Services. |,
2020 05 27 07:51:39,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread, |,
2020 05 27 07:51:39,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.bapi.BAPIErrorHandler.init(BAPIErrorHandler.java:76) |,
2020 05 27 07:51:39,400,ERROR,System.err,Agentry SAPWM_PS Worker 3344 Thread,	at com.syclo.sap.bapi.BAPIErrorHandler.<init>(BAPIErrorHandler.java:48) |,
